24964,11674,5017,24195,21885,61637,52788,28395,19689,29590
53226,28940,2503,14423,50849,8811,62884,22771,36948,8839
39775,19981,36044,62595,52933,5078,42791,62538,39767,47314
25245,185,58987,30261,24379,16326,27352,12621,44720,47041
42211,33400,11434,44713,47822,62282,53523,46159,20507,25925
54998,60282,45905,26496,58330,34291,31573,36574,32283,6794
19341,57527,6978,13781,23242,31357,30107,50593,43978,10280
33087,21642,43679,44521,1809,26955,42256,55331,8568,62763
16709,63565,58498,62614,25514,52281,32358,57087,24309,95
63880,43649,57621,6312,57430,16316,37669,22990,2363,17101
33270,35449,38742,12403,15423,40550,39357,57679,31335,47924
55896,48044,46943,49848,46111,7911,37583,13923,451,61891
14017,64331,40994,7091,6097,33877,23407,43765,56867,25770
60865,25590,61218,35061,37992,12095,11065,12803,5228,42400
60727,61123,25897,43123,46424,7461,51033,19461,21383,51484
16805,35399,51268,57798,42490,57364,27129,1351,36583,19450
27120,32902,45040,23792,3417,18485,35886,14481,31288,41113
56881,27468,37690,18231,6045,19568,25691,57078,39028,47074
44015,55832,17926,30737,49084,60416,23554,11667,61767,60137
31117,24340,28492,11610,48131,31909,30095,19471,46390,61382
60584,38724,24303,33727,56954,30348,53294,18099,22879,27776
626,2347,19061,18552,33083,3599,14422,56637,15266,11642
52228,46382,35981,16174,57991,19566,48082,23539,39037,29925
20374,35075,4103,44677,4255,61056,10478,57549,14608,33357
20778,15234,35703,39839,33785,4240,43438,48206,60877,58703
59847,48558,40538,31282,33982,50848,48267,57521,25339,13646
13348,60413,17748,58025,122,14257,3957,57671,28865,37313
13903,44099,8470,53741,13337,12709,32633,61543,9039,26789
56844,57597,2780,23580,57782,36762,9882,41503,29736,35220
55148,43084,31087,8349,36563,31208,22606,40519,24332,51471
13285,38234,31023,21754,27429,44360,34463,60061,41356,43502
22304,33653,36552,25083,57233,29788,61845,2568,6744,27035
37787,5572,4328,5694,42134,35535,28300,18107,59867,15224
31392,33555,46247,53145,60984,26060,23062,56498,2869,2017
14255,36522,38569,39338,29208,3811,36637,31776,10554,63671
7899,4697,9344,13593,46831,44878,41892,391,40199,57116
31782,9207,38816,20381,5644,329,43442,62142,3198,45459
11851,39720,19482,51188,4381,23292,23279,36157,33845,22403
41173,41744,27100,50516,55336,9384,30847,32681,9775,6499
25251,41557,15706,64066,61937,21349,64395,40833,18945,3046
21746,30795,42765,41227,17436,47146,64518,40714,18756,33817
